ticker,name,statement,current_price,market_cap_cr,sales_cagr_10y,sales_cagr_5y,profit_cagr_10y,roe_10y,source_url,fetched_date
GULFOILLUB,Gulf Oil Lubricants India,standalone,1061.0,5256.0,0.15,0.19,0.14,0.26,https://www.screener.in/company/GULFOILLUB/,2026-09-12
CASTROLIND,Castrol India,standalone,188.0,18598.0,0.06,0.14,0.04,0.51,https://www.screener.in/company/CASTROLIND/,2026-09-12
SOTL,Savita Oil Technologies,standalone,716.0,4911.0,0.11,0.18,0.16,0.13,https://www.screener.in/company/SOTL/,2026-09-12
GANDHAR,Gandhar Oil Refinery,consolidated,273.0,2669.0,0.09,0.14,0.18,,https://www.screener.in/company/GANDHAR/consolidated/,2026-09-12
